"org.nrepl/incomplete","0.1.0","EPL-2.0 OR GPL-2.0-or-later WITH Classpath-exception-2.0"
"org.clojure/core.specs.alpha","0.2.56","Eclipse Public License 1.0"
"org.slf4j/slf4j-api","1.7.30","MIT License"
"nrepl","0.8.3","Eclipse Public License"
"clj-tuple","0.2.2","MIT License"
"com.fasterxml.jackson.core/jackson-annotations","2.12.2","The Apache Software License, Version 2.0"
"com.fasterxml.jackson.core/jackson-databind","2.12.2","The Apache Software License, Version 2.0"
"org.clojure/clojure","1.10.3","Eclipse Public License 1.0"
"potemkin","0.4.5","MIT License"
"org.apache.commons/commons-compress","1.20","Apache License, Version 2.0"
"org.clojure/spec.alpha","0.2.194","Eclipse Public License 1.0"
"riddley","0.1.12","MIT License"
"org.apache.avro/avro","1.10.2","Apache License, Version 2.0"
"com.fasterxml.jackson.core/jackson-core","2.12.2","The Apache Software License, Version 2.0"
